Constraint ID,Pattern,File/Lines,Type
ANT-6,binary-comparison,org/apache/tools/ant/Main.java:333,manual
ANT-7,constant-argument,org/apache/tools/ant/XmlLogger.java:180,manual
ANT-8,binary-comparison,org/apache/tools/ant/taskdefs/DependSet.java:254,manual
ANT-8,binary-comparison,org/apache/tools/ant/taskdefs/Pack.java:140,tool-assisted
ANT-9,null-check,org/apache/tools/ant/taskdefs/DependSet.java:200,manual
ANT-9,null-check,org/apache/tools/ant/taskdefs/DependSet.java:135,tool-assisted
GUA-1,null-check,com/google/common/base/Preconditions.java:877,manual
GUA-10,polymorphic-method,"guava/src/com/google/common/base/Present.java:40
guava/src/com/google/common/base/Absent.java:43",manual
GUA-11,external,guava/src/com/google/common/collect/Ordering.java:548,manual
GUA-2,boolean-property,com/google/common/collect/Iterators.java:302,manual
GUA-3,binary-comparison,com/google/common/collect/Multisets.java:686,manual
GUA-4,boolean-property,com/google/common/base/Preconditions.java:127,manual
GUA-4,boolean-property,com/google/common/base/Preconditions.java:141,tool-assisted
GUA-4,boolean-property,com/google/common/base/Preconditions.java:163,tool-assisted
GUA-5,null-check,com/google/common/base/Preconditions.java:877,manual
GUA-5,null-check,com/google/common/base/Preconditions.java:896,tool-assisted
GUA-5,null-check,com/google/common/collect/Hashing.java:54,tool-assisted
GUA-6,binary-comparison,com/google/common/base/Preconditions.java:1342,manual
GUA-7,binary-comparison,com/google/common/base/Preconditions.java:1387,manual
GUA-8,boolean-property,com/google/common/collect/Iterators.java:845,manual
GUA-8,boolean-property,com/google/common/collect/AbstractIndexedListIterator.java:74,tool-assisted
GUA-8,boolean-property,com/google/common/collect/AbstractSequentialIterator.java:69,tool-assisted
GUA-8,boolean-property,com/google/common/collect/HashBiMap.java:418,tool-assisted
GUA-9,polymorphic-method,guava/src/com/google/common/base/Optional.java:166,manual
HCO-1,boolean-property,org/apache/http/impl/conn/DefaultHttpResponseParser.java:144,manual
HCO-1,boolean-property,org/apache/http/impl/conn/DefaultResponseParser.java:108,tool-assisted
HCO-10,null-check,org/apache/http/impl/BHttpConnectionBase.java:237,manual
HCO-10,null-check,org/apache/http/impl/entity/EntityDeserializer.java:112,tool-assisted
HCO-10,null-check,org/apache/http/impl/nio/NHttpConnectionBase.java:404,tool-assisted
HCO-11,binary-comparison,org/apache/http/protocol/HttpService.java:373,manual
HCO-11,binary-comparison,org/apache/http/impl/DefaultConnectionReuseStrategy.java:223,tool-assisted
HCO-11,binary-comparison,org/apache/http/impl/client/cache/ResponseProtocolCompliance.java:215,tool-assisted
HCO-11,binary-comparison,org/apache/http/nio/protocol/HttpAsyncService.java:677,tool-assisted
HCO-11,binary-comparison,org/apache/http/nio/protocol/NHttpHandlerBase.java:125,tool-assisted
HCO-12,binary-comparison,org/apache/http/protocol/HttpService.java:377,manual
HCO-12,binary-comparison,org/apache/http/impl/DefaultConnectionReuseStrategy.java:227,tool-assisted
HCO-12,binary-comparison,org/apache/http/nio/protocol/NHttpHandlerBase.java:130,tool-assisted
HCO-12,binary-comparison,org/apache/http/protocol/HttpRequestExecutor.java:97,tool-assisted
HCO-13,null-check,org/apache/http/impl/client/cache/RequestProtocolCompliance.java:199,manual
HCO-13,null-check,org/apache/http/client/utils/URLEncodedUtils.java:159,tool-assisted
HCO-13,null-check,org/apache/http/entity/ContentType.java:340,tool-assisted
HCO-13,null-check,org/apache/http/entity/ContentType.java:364,tool-assisted
HCO-13,null-check,org/apache/http/protocol/RequestContent.java:117,tool-assisted
HCO-13,null-check,org/apache/http/protocol/ResponseContent.java:116,tool-assisted
HCO-13,null-check,org/apache/http/util/EntityUtils.java:161,tool-assisted
HCO-13,null-check,org/apache/http/util/EntityUtils.java:189,tool-assisted
HCO-14,null-check,org/apache/http/impl/entity/StrictContentLengthStrategy.java:103,manual
HCO-14,null-check,org/apache/http/impl/entity/LaxContentLengthStrategy.java:107,tool-assisted
